3,20,13,5,4
2,20,13,5,4
1,20,13,5,4
0,20,13,5,4
0,19,13,5,4
0,18,13,5,4
0,17,13,5,4
0,16,13,5,4
0,15,13,5,4
0,14,13,5,4
0,13,13,5,4
1,12,13,5,4
0,12,13,5,4
0,11,13,5,4
0,10,13,5,4
0,9,13,5,4
0,8,13,5,4
0,7,13,5,4
0,6,13,5,4
0,5,13,5,4
1,4,13,5,4
2,4,13,5,4
1,5,13,5,4
3,6,13,5,4
6,10,13,5,4
5,10,13,5,4
4,10,13,5,4
3,10,13,5,4
2,10,13,5,4
1,10,13,5,4
0,10,13,5,4
0,9,13,5,4
0,8,13,5,4
0,7,13,5,4
0,6,13,5,4
0,5,13,5,4
0,4,13,5,4
0,3,13,5,4
0,2,13,5,4
1,1,13,5,4
0,1,13,5,4
0,0,13,5,4
0,0,12,5,4
0,0,11,5,4
0,0,10,5,4
0,0,9,5,4
0,0,8,5,4
0,0,7,5,4
0,0,6,5,4
0,0,5,5,4
0,0,4,5,4
0,0,3,5,4
0,0,2,5,4
0,0,1,5,4
0,0,0,5,4
0,0,0,4,4
0,0,0,3,4
0,0,0,2,4
0,0,0,1,4
0,0,0,0,4
0,0,0,0,3
0,0,0,0,2
0,0,0,0,1
1,0,0,0,0
13,20,13,5,4
12,20,13,5,4
11,20,13,5,4
10,20,13,5,4
9,20,13,5,4
8,20,13,5,4
7,20,13,5,4
6,20,13,5,4
5,20,13,5,4
4,20,13,5,4
3,20,13,5,4
3,20,13,5,4
2,20,13,5,4
1,20,13,5,4
0,20,13,5,4
0,19,13,5,4
0,18,13,5,4
0,17,13,5,4
0,16,13,5,4
0,15,13,5,4
0,14,13,5,4
0,13,13,5,4
1,12,13,5,4
0,12,13,5,4
0,11,13,5,4
1,10,13,5,4
0,10,13,5,4
0,9,13,5,4
0,8,13,5,4
0,7,13,5,4
0,6,13,5,4
1,5,13,5,4
1,5,13,5,4
0,5,13,5,4
1,5,13,5,4
5,6,13,5,4
4,6,13,5,4
3,6,13,5,4
2,6,13,5,4
1,6,13,5,4
1,6,13,5,4
0,6,13,5,4
0,5,13,5,4
0,4,13,5,4
0,3,13,5,4
0,2,13,5,4
0,1,13,5,4
0,0,13,5,4
0,0,12,5,4
0,0,11,5,4
0,0,10,5,4
0,0,9,5,4
0,0,8,5,4
0,1,7,5,4
0,0,7,5,4
0,1,6,5,4
0,0,6,5,4
0,0,5,5,4
0,0,4,5,4
0,0,3,5,4
0,0,2,5,4
0,0,1,5,4
0,1,0,5,4
0,0,0,5,4
1,0,0,4,4
0,0,0,4,4
0,1,0,3,4
0,0,0,3,4
0,0,0,2,4
0,0,0,1,4
0,0,0,0,4
0,0,0,0,3
0,0,0,0,2
1,0,0,0,1
0,0,0,0,1
13,20,13,5,4
12,20,13,5,4
11,20,13,5,4
10,20,13,5,4
9,20,13,5,4
8,20,13,5,4
7,20,13,5,4
6,20,13,5,4
5,20,13,5,4
4,20,13,5,4
3,20,13,5,4
2,20,13,5,4
1,20,13,5,4
1,20,13,5,4
0,20,13,5,4
0,19,13,5,4
0,18,13,5,4
1,17,13,5,4
0,17,13,5,4
0,16,13,5,4
0,15,13,5,4
0,14,13,5,4
1,13,13,5,4
0,13,13,5,4
0,12,13,5,4
1,11,13,5,4
0,11,13,5,4
0,10,13,5,4
0,9,13,5,4
0,8,13,5,4
0,7,13,5,4
0,6,13,5,4
1,5,13,5,4
0,5,13,5,4
2,6,13,5,4
5,8,13,5,4
4,8,13,5,4
3,8,13,5,4
2,9,13,5,4
1,9,13,5,4
0,10,13,5,4
0,9,13,5,4
1,8,13,5,4
0,8,13,5,4
0,7,13,5,4
0,6,13,5,4
0,5,13,5,4
0,5,13,5,4
0,4,13,5,4
0,3,13,5,4
1,3,13,5,4
0,3,13,5,4
0,2,13,5,4
0,1,13,5,4
0,0,13,5,4
0,0,12,5,4
0,0,11,5,4
0,0,10,5,4
0,0,9,5,4
0,0,8,5,4
0,0,7,5,4
0,0,6,5,4
0,0,5,5,4
0,0,4,5,4
0,0,3,5,4
0,0,2,5,4
0,0,1,5,4
0,0,0,5,4
0,0,0,4,4
0,0,0,3,4
0,0,0,2,4
0,0,0,1,4
0,0,0,0,4
0,0,0,0,3
0,0,0,0,2
13,20,13,5,4
12,20,13,5,4
11,20,13,5,4
10,20,13,5,4
9,20,13,5,4
8,20,13,5,4
8,20,13,5,4
7,20,13,5,4
6,20,13,5,4
5,20,13,5,4
4,20,13,5,4
3,20,13,5,4
2,20,13,5,4
1,20,13,5,4
1,20,13,5,4
0,20,13,5,4
0,19,13,5,4
0,18,13,5,4
0,17,13,5,4
0,16,13,5,4
0,15,13,5,4
0,14,13,5,4
0,13,13,5,4
0,12,13,5,4
0,11,13,5,4
1,10,13,5,4
0,10,13,5,4
0,9,13,5,4
0,8,13,5,4
0,7,13,5,4
0,6,13,5,4
0,5,13,5,4
2,4,13,5,4
1,4,13,5,4
2,5,13,5,4
2,9,13,5,4
1,9,13,5,4
0,9,13,5,4
1,9,13,5,4
0,9,13,5,4
1,8,13,5,4
0,8,13,5,4
0,7,13,5,4
1,6,13,5,4
0,6,13,5,4
0,5,13,5,4
0,4,13,5,4
0,3,13,5,4
0,2,13,5,4
0,1,13,5,4
0,0,13,5,4
0,0,12,5,4
0,0,11,5,4
0,0,10,5,4
0,0,9,5,4
0,0,8,5,4
0,0,7,5,4
0,0,6,5,4
0,1,5,5,4
0,0,5,5,4
0,0,4,5,4
0,0,3,5,4
0,0,2,5,4
0,0,1,5,4
0,0,0,5,4
0,0,0,4,4
0,0,0,3,4
0,0,0,2,4
1,0,0,1,4
0,0,0,1,4
0,0,0,0,4
0,0,0,0,3
0,0,0,0,2
0,0,0,0,1
0,0,0,0,0
13,20,13,5,4
12,20,13,5,4
11,20,13,5,4
10,20,13,5,4
9,20,13,5,4
8,20,13,5,4
7,20,13,5,4
7,20,13,5,4
6,20,13,5,4
5,20,13,5,4
4,20,13,5,4
3,20,13,5,4
2,20,13,5,4
1,20,13,5,4
0,20,13,5,4
0,19,13,5,4
1,18,13,5,4
0,18,13,5,4
0,17,13,5,4
0,16,13,5,4
0,15,13,5,4
0,14,13,5,4
0,13,13,5,4
1,12,13,5,4
0,12,13,5,4
0,11,13,5,4
0,10,13,5,4
0,9,13,5,4
0,8,13,5,4
0,7,13,5,4
0,6,13,5,4
2,5,13,5,4
1,5,13,5,4
0,6,13,5,4
3,7,13,5,4
4,8,13,5,4
3,8,13,5,4
2,8,13,5,4
2,9,13,5,4
1,9,13,5,4
1,10,13,5,4
0,10,13,5,4
0,9,13,5,4
1,8,13,5,4
0,8,13,5,4
0,7,13,5,4
0,6,13,5,4
0,5,13,5,4
0,4,13,5,4
0,3,13,5,4
0,2,13,5,4
0,1,13,5,4
0,0,13,5,4
0,0,12,5,4
0,0,11,5,4
0,0,10,5,4
0,0,9,5,4
0,0,8,5,4
0,0,7,5,4
0,0,6,5,4
0,0,5,5,4
0,0,4,5,4
0,0,3,5,4
0,0,2,5,4
0,0,1,5,4
0,0,0,5,4
0,0,0,4,4
0,0,0,3,4
0,0,0,2,4
0,0,0,1,4
0,0,0,0,4
0,0,0,0,3
0,0,0,0,2
0,0,0,0,1
0,0,0,0,0
13,20,13,5,4
12,20,13,5,4
11,20,13,5,4
10,20,13,5,4
9,20,13,5,4
8,20,13,5,4
7,20,13,5,4
6,20,13,5,4
5,20,13,5,4
4,20,13,5,4
3,20,13,5,4
2,20,13,5,4
1,20,13,5,4
0,20,13,5,4
0,19,13,5,4
0,18,13,5,4
0,17,13,5,4
0,16,13,5,4
0,15,13,5,4
0,14,13,5,4
0,13,13,5,4
0,12,13,5,4
0,11,13,5,4
0,10,13,5,4
0,9,13,5,4
1,8,13,5,4
0,8,13,5,4
0,7,13,5,4
0,6,13,5,4
0,5,13,5,4
0,4,13,5,4
2,3,13,5,4
1,4,13,5,4
0,5,13,5,4
1,5,13,5,4
6,7,13,5,4
5,7,13,5,4
4,7,13,5,4
3,7,13,5,4
2,7,13,5,4
1,8,13,5,4
0,8,13,5,4
0,8,13,5,4
1,7,13,5,4
0,7,13,5,4
0,6,13,5,4
0,5,13,5,4
0,4,13,5,4
0,3,13,5,4
0,2,13,5,4
0,1,13,5,4
0,0,13,5,4
0,0,12,5,4
0,0,11,5,4
0,0,10,5,4
0,1,9,5,4
0,0,9,5,4
0,0,8,5,4
0,0,7,5,4
0,0,6,5,4
0,0,5,5,4
0,0,4,5,4
0,0,3,5,4
0,0,2,5,4
0,0,1,5,4
0,0,0,5,4
0,0,0,4,4
0,0,0,3,4
0,0,0,2,4
0,0,0,1,4
0,0,0,0,4
0,0,0,0,3
0,0,0,0,2
1,0,0,0,1
0,0,0,0,1
13,20,13,5,4
12,20,13,5,4
11,20,13,5,4
10,20,13,5,4
9,20,13,5,4
8,20,13,5,4
7,20,13,5,4
6,20,13,5,4
5,20,13,5,4
4,20,13,5,4
3,20,13,5,4
2,20,13,5,4
1,20,13,5,4
0,20,13,5,4
0,19,13,5,4
0,18,13,5,4
0,17,13,5,4
0,16,13,5,4
0,15,13,5,4
0,14,13,5,4
0,13,13,5,4
0,12,13,5,4
1,11,13,5,4
0,11,13,5,4
0,10,13,5,4
1,9,13,5,4
0,9,13,5,4
0,8,13,5,4
0,7,13,5,4
0,6,13,5,4
0,5,13,5,4
3,4,13,5,4
4,4,13,5,4
3,4,13,5,4
4,5,13,5,4
5,8,13,5,4
4,8,13,5,4
3,8,13,5,4
2,8,13,5,4
1,8,13,5,4
0,9,13,5,4
0,8,13,5,4
0,7,13,5,4
0,7,13,5,4
0,7,13,5,4
0,6,13,5,4
0,5,13,5,4
0,4,13,5,4
0,3,13,5,4
0,2,13,5,4
0,1,13,5,4
0,0,13,5,4
0,0,12,5,4
0,0,11,5,4
0,0,10,5,4
0,0,9,5,4
1,0,8,5,4
0,0,8,5,4
0,0,7,5,4
0,0,6,5,4
0,0,5,5,4
0,0,4,5,4
0,0,3,5,4
0,0,2,5,4
0,0,1,5,4
0,0,0,5,4
0,0,0,4,4
0,0,0,3,4
0,0,0,2,4
0,0,0,1,4
0,0,0,0,4
0,0,0,0,3
0,0,0,0,2
0,0,0,0,1
0,0,0,0,0
